idx,AirQualityStation,no2,img_path,s5p_path,date_str,no2_norm,18.71056311
807,06-071-0026,50.46259459,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,2.416034254,
808,06-071-0026,41.28272266,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019,1.717531387,
809,06-071-0026,43.87476132,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019,1.914761419,
810,06-071-0026,49.3457602,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019,2.331053545,
811,06-071-0026,56.35858111,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019,2.864663987,
812,06-071-0026,55.04417046,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019,2.764649562,
813,06-071-0026,59.50995307,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019,3.10445408,
814,06-071-0026,66.38326951,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2019,3.627449529,
815,06-071-0026,51.55001299,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2019,2.49877668,
816,06-071-0026,57.136586,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2020,2.923862922,
817,06-071-0026,56.52639233,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2020,2.877432859,
818,06-071-0026,44.49023815,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2020,1.96159348,
819,06-071-0026,39.25701117,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2020,1.563393584,
820,06-071-0026,43.56957128,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2020,1.891539295,
821,06-071-0026,43.54096019,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2020,1.889362258,
822,06-071-0026,52.913914,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2020,2.60255686,
823,06-071-0026,55.39633568,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2020,2.79144606,
824,06-071-0026,71.75532137,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2020,4.036212708,
825,06-071-0026,66.71507465,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2020,3.652696814,
826,06-071-0026,63.98654341,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2020,3.445080967,
827,06-071-0026,55.05787212,06-071-0026/S2A_MSIL2A_20210503T182921_N0300_R027_T11SMT_20210503T224703.npy,06-071-0026/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2020,2.765692131,
828,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018,-1.423699817,
829,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018,-1.423699817,
830,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018,-1.423699817,
831,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018,-1.423699817,
832,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018,-1.423699817,
833,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018,-1.423699817,
834,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018,-1.423699817,
835,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018,-1.423699817,
836,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018,-1.423699817,
837,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018,-1.423699817,
838,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018,-1.423699817,
839,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018,-1.423699817,
840,06-065-1016,5.516848599,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019,-1.003918953,
841,06-065-1016,5.143265326,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019,-1.032345165,
842,06-065-1016,4.634269257,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019,-1.071075032,
843,06-065-1016,5.437009131,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,-1.009993994,
844,06-065-1016,5.831611419,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019,-0.9799684304,
845,06-065-1016,8.021333584,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019,-0.8133509414,
846,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019,-1.423699817,
847,06-065-1016,,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019,-1.423699817,
848,06-065-1016,8.684756169,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019,-0.7628706534,
849,06-065-1016,7.04048814,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019,-0.8879841563,
850,06-065-1016,4.3146,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2019,-1.095398889,
851,06-065-1016,5.192167808,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2019,-1.028624141,
852,06-065-1016,5.30258324,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2020,-1.020222554,
853,06-065-1016,6.166261139,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2020,-0.9545046994,
854,06-065-1016,2.715409475,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2020,-1.217082413,
855,06-065-1016,3.143312711,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2020,-1.184522957,
856,06-065-1016,4.117941084,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2020,-1.110362803,
857,06-065-1016,4.924572141,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2020,-1.048985683,
858,06-065-1016,4.528532963,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2020,-1.07912058,
859,06-065-1016,4.922484961,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2020,-1.049144498,
860,06-065-1016,3.994916215,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2020,-1.119723851,
861,06-065-1016,4.872798017,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2020,-1.052925212,
862,06-065-1016,4.367071301,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2020,-1.091406311,
863,06-065-1016,4.18429344,06-065-1016/S2B_MSIL2A_20210915T182919_N0301_R027_T11SNT_20210915T224231.npy,06-065-1016/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2020,-1.105314006,
864,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018,-1.423699817,
865,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018,-1.423699817,
866,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018,-1.423699817,
867,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018,-1.423699817,
868,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018,-1.423699817,
869,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018,-1.423699817,
870,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018,-1.423699817,
871,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018,-1.423699817,
872,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018,-1.423699817,
873,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018,-1.423699817,
874,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018,-1.423699817,
875,06-083-1008,,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018,-1.423699817,
876,06-083-1008,11.38423539,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019,-0.5574653942,
877,06-083-1008,9.826263608,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019,-0.6760125551,
878,06-083-1008,9.371496163,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019,-0.7106161276,
879,06-083-1008,9.087054887,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,-0.732259463,
880,06-083-1008,7.24185115,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019,-0.8726623043,
881,06-083-1008,6.884432912,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019,-0.8998585076,
882,06-083-1008,6.183034422,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019,-0.9532284087,
883,06-083-1008,6.911966276,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019,-0.8977634747,
884,06-083-1008,11.33113149,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019,-0.5615061069,
885,06-083-1008,14.50066942,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019,-0.3203337517,
886,06-083-1008,13.49311939,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2019,-0.3969989371,
887,06-083-1008,12.81877503,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2019,-0.4483102709,
888,06-083-1008,11.06088649,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2020,-0.582069238,
889,06-083-1008,11.60939467,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2020,-0.540332867,
890,06-083-1008,7.494687255,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2020,-0.8534238284,
891,06-083-1008,6.485455239,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2020,-0.9302169975,
892,06-083-1008,6.577626955,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2020,-0.9232035872,
893,06-083-1008,5.94652178,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2020,-0.9712248208,
894,06-083-1008,4.942903399,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2020,-1.047590844,
895,06-083-1008,7.938158879,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2020,-0.8196797628,
896,06-083-1008,11.01216818,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2020,-0.5857762477,
897,06-083-1008,13.64067913,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2020,-0.3857710138,
898,06-083-1008,13.25127525,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2020,-0.4154010266,
899,06-083-1008,12.91309924,06-083-1008/S2A_MSIL2A_20210615T183921_N0300_R070_T10SGD_20210615T225624.npy,06-083-1008/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2020,-0.441133076,
900,06-037-0113,33.46807766,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2018,1.12290959,
901,06-037-0113,29.26787552,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2018,0.8033132752,
902,06-037-0113,22.18962395,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2018,0.264724169,
903,06-037-0113,,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2018,-1.423699817,
904,06-037-0113,,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2018,-1.423699817,
905,06-037-0113,,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2018,-1.423699817,
906,06-037-0113,8.48838424,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2018,-0.7778127307,
907,06-037-0113,13.41130542,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2018,-0.4032242193,
908,06-037-0113,14.64023893,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2018,-0.3097138102,
909,06-037-0113,22.50996768,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2018,0.2890993475,
910,06-037-0113,30.448152,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2018,0.8931213373,
911,06-037-0113,30.62376647,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2018,0.9064839648,
912,06-037-0113,30.47065581,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2019,0.894833668,
913,06-037-0113,21.80799993,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2019,0.2356861312,
914,06-037-0113,16.48456331,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2019,-0.1693778795,
915,06-037-0113,13.16841005,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2019,-0.4217062975,
916,06-037-0113,9.447765039,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2019,-0.7048127756,
917,06-037-0113,8.414687425,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2019,-0.7834203728,
918,06-037-0113,9.689580524,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2019,-0.6864128664,
919,06-037-0113,12.52440924,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2019,-0.4707087696,
920,06-037-0113,15.59047271,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,9-2019,-0.2374098581,
921,06-037-0113,26.38172458,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,10-2019,0.5837040347,
922,06-037-0113,27.02790172,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,11-2019,0.6328721041,
923,06-037-0113,27.93529861,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,12-2019,0.7019165673,
924,06-037-0113,29.23948461,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,1-2020,0.801152991,
925,06-037-0113,28.42170775,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,2-2020,0.7389277788,
926,06-037-0113,12.97023128,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,3-2020,-0.4367858586,
927,06-037-0113,10.74524447,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,4-2020,-0.6060866597,
928,06-037-0113,15.16480841,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,5-2020,-0.2697989522,
929,06-037-0113,11.67049931,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,6-2020,-0.5356833722,
930,06-037-0113,11.34485297,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,7-2020,-0.5604620302,
931,06-037-0113,13.28294933,06-037-0113/S2B_MSIL2A_20210905T182919_N0301_R027_T11SLT_20210905T231547.npy,06-037-0113/l3_mean_monthly_US_large_2018_2020_005dg.netcdf,8-2020,-0.4129909239,
